ID_INSTITUTO,NOMBRE,DIRECCION,CODPOSTAL,ID_PAQUETE
371,El Tablerillo,"Ctra. de Las Ermtas, 48",14012,2
372,Ntra. Sra. de Gracia y San Francisco Solano,"C/ Maestro Amalio Labajo, 1",14720,3
373,El Sauce,"C/ Punta del Sauce, 4",14100,1
374,Clara Campoamor,"C/ Jaén, 6",14900,2
375,Escuelas Profesionales de la Sagrada Familia,"Avda. Padre Villoslada, 22",14850,3
376,Valverde y Perales,"C/ Antonio Machado, 7",14850,1
377,Espíritu Santo,"C/ Fernández de Córdoba, 12",14850,2
378,Escuelas Profesionales de la Sagrada Familia -La Milagrosa,"C/ Santa Marina, 1",14850,3
379,Luis Carrillo de Sotomayor,"Avda. San Carlos de Chile, s/n",14850,1
380,Dionisio Alcalá Galiano,"C/ Escultor Antonio Maiz Castro, s/n",14940,2
381,Inmaculada del Voto,"C/ Maestro Jesús Jiménez, 2",14650,3
382,La Milagrosa,"Plaza de Santa Ana, 1",14650,1
383,El Tablero,"Avda. de la Arruzafilla, s/n",14011,2
384,Juan Valera,"C/ Mío Cid, 1",14940,3
385,Ntra. Sra. de la Sierra,"Avda. González de Meneses, 1",14940,1
386,Felipe Solís Villechenous,"Avda. Fuente del Río, 15",14940,2
387,Aguilar y Eslava,"Plaza de Aguilar y Eslava, s/n",14940,3
388,Virgen del Castillo,"Avda. de la Constitución, 6",14810,1
389,Carlos III,"C/ Académico Luis Mapelli, 12",14100,2
390,Virgen de la Salud,"Paseo de la Salud, 18",14840,3
391,Almedina,"Ctra. de las Ermitas, s/n",14012,1
392,La Aduana,"Ctra. de Villaviciosa, Km.7",14012,2
393,Caballeros de Santiago,"Plaza de Valdelagrana, 3",14002,3
394,Colón,"Plaza de Colón, s/n",14001,1
395,López Diéguez,"C/ Arroyo de San Andrés, 2",14001,2
396,Tirso de Molina,"Avda. del Mediterráneo, s/n",14011,3
397,Alcalde Jiménez Ruiz,"C/ Miguel Ángel Orti Belmonte, 2",14010,1
398,Salvador Vinuesa,"C/ Periodista Quesada Chacón, 65",14005,2
399,Juan de Mena,"Avda. Carlos III, s/n",14014,3
400,Al-Ándalus,"C/ Vicente Aleixandre, s/n",14004,1
401,Alcalde Pedro Barbudo,"Avda. Virgen de Linares, 2",14007,2
402,Cronista Rey Díaz,"C/ Cronista Rey Díaz, 4",14006,3
403,San Lorenzo,"C/ Muñices, 12",14002,1
404,Ipagro,"C/ Padre Oblatos, s/n",14920,2
405,Ahlzahir,"C/ Poeta Valdelomar Pineda, 17",14012,3
406,Bética-Mudarra,"C/ Vandalino, 6",14012,1
407,Calasancio,"C/ Madres Escolapias, 90",14012,2
408,Cervantes,"Avda. de la Fuensanta, 37",14010,3
409,Córdoba Cooperativa de Enseñanza,"C/ Úbeda, 4",14013,1
410,Divina Pastora,"C/ Conde de Torres Cabrera, 15",14001,2
411,Ferroviario,"Plaza de Colón, s/n",14001,3
412,Fray Albino,"C/ Doña Aldonza, 2",14009,1
413,Reales Escuelas Pías de la Inmaculada Concepción y San Francisco Javier,"Plaza de la Compañía, 6",14002,2
414,Jesús Nazareno,"C/ Jesús Nazareno, 4",14001,3
415,La Milagrosa,"C/ Conde de Gondomar, 4",14003,1
416,Nuestra Señora de las Mercedes,"C/ Doña Aldonza, 6",14009,2
417,Nuestra Señora de la Piedad,"Plaza de las Cañas, 3",14002,3
418,Sagrada Familia,"Plaza de Aguayos , 3",14002,1
419,Sagrado Corazón,"Plaza de San Juan, 2",14003,2
420,La Salle,"C/ San Juan Bautista de la Salle, 7",14012,3
421,San Acisclo y Santa Victoria,"C/ Téllez de Meneses, s/n",14012,1
422,San Francisco de Sales,"C/ Santo Domingo Savio, 2",14002,2
423,San Rafael,"C/ Peñas Cordobesas, 2",14010,3
424,Santa María de Guadalupe,"Avda. del 28 de Febrero, 5",14007,1
425,Santa Victoria,"C/ Santa Victoria, 1",14003,2
426,Séneca,"C/ Escritor Almeida Garret, 1",14014,3
427,Virgen del Carmen,"C/ Alonso el Sabio, 14",14001,1
428,Santa Victoria 2,"C/ Párroco Agustín Molina, 24",14012,2
429,Maimónides,"C/ Alfonso XIII, 4",14001,3
430,Luis de Góngora,"C/ Diego de León, 2",14002,1
431,Séneca,"Avda. Menéndez Pidal, s/n",14004,2
432,López Neyra,"Avda. del Mediterráneo, s/n",14011,3
433,Santísima Trinidad-Sansueña,"C/ Sansueña, 1",14012,1
434,Santísima Trinidad-Trinitarios,"Plaza Cristo de Gracia, 5",14002,2
435,Cervantes,"C/ Virgen del Pilar, s/n",14830,3
436,Virgen de las Cruces,"C/ Juan Carlos I, s/n",14413,1
437,Inmaculada,"C/ Romero de Torres, 56",14270,2
438,Jerez y Caballero,"Paseo de la Constitución, 14",14270,3
439,Victoria Díez,"C/ Portugal, 1",14740,1
440,Ntra. Sra. de la Piedad,"C/ Calvario, 10",14970,2
441,Barahona de Soto,"C/ Ancha, Nº 50",14900,3
442,Ntra. Sra. de Araceli,"Paseo de Rojas, 2",14900,1
443,Ntra. Sra. del Carmen,"C/ El Carmen, 4",14900,2
444,Marqués de Comares,"C/ Juego de Pelota, 54",14900,3
445,Virgen del Valle,"C/ Corazón de Jesús, s/n",14900,1
